objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Arkham Horror: The Card Game – Film Fatale: Scenario Pack","448054","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143820536","5.64115","8.36593","4.25","0","2198","thing","Arkham Horror: The Card Game – Film Fatale: Scenario Pack","1","4","120","120","60","2025","1,2,3,4","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck","305512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143880656","6.06929","8.3638","3.5556","0","7280","thing","Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck","1","2","120","120","60","2020","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Jacqueline Fine: Investigator Starter Deck","305517","0","0","0","1","0","0","0","0","0","0","0","3","","Investigator","","","","132511069","6.12983","8.5724","3.5556","0","7447","thing","Arkham Horror: The Card Game – Jacqueline Fine: Investigator Starter Deck","1","2","120","120","60","2020","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Lost in Time and Space: Mythos Pack","224363","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #8","","","","78752296","6.39463","8.27037","3.4167","0","10688","thing","Arkham Horror: The Card Game – Lost in Time and Space: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Murder at the Excelsior Hotel: Scenario Pack","284354","10","1","0","1","0","0","0","0","0","0","0","3","","Standalone Scenario","","","","132510719","6.43364","8.54618","3.5263","0","8701","thing","Arkham Horror: The Card Game – Murder at the Excelsior Hotel: Scenario Pack","1","2","120","120","60","2019","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Nathaniel Cho: Investigator Starter Deck","305509","0","0","0","1","0","0","0","0","0","0","0","3","","Investigator","","","","132475925","6.14837","8.50668","3.375","0","7441","thing","Arkham Horror: The Card Game – Nathaniel Cho: Investigator Starter Deck","1","2","120","120","60","2020","1,2","1,2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Return to the Night of the Zealot","244145","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","78752221","6.17584","8.01252","3.8","0","8159","thing","Arkham Horror: The Card Game – Return to the Night of the Zealot","1","2","120","120","60","2018","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Stella Clark: Investigator Starter Deck","305518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","144049891","6.14668","8.55161","3.5","0","7533","thing","Arkham Horror: The Card Game – Stella Clark: Investigator Starter Deck","1","2","120","120","60","2020","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack","280714","0","0","0","0","0","1","1","1","0","0","1","1","","","","","","143628492","6.04897","8.46758","3.7273","0","6498","thing","Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack","1","4","120","120","60","2019","1,2,3,4","2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Circle Undone: Campaign Expansion","382510","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","143883076","5.83405","8.4478","3.8333","0","3167","thing","Arkham Horror: The Card Game – The Circle Undone: Campaign Expansion","1","4","180","180","45","2023","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
