objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"How to Host a Murder: The Last Train from Paris","3051","0","0","0","0","0","0","0","0","1","0","0","3","","Sold to Noble Knight","","","","73493640","5.5379","6.76437","2.1111","14995","296","thing","How to Host a Murder: The Last Train from Paris","8","8","180","180","180","1985","8","8","21 and up","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Hunger Games: Catching Fire – Victors Game","154964","0","0","0","0","0","0","0","0","1","0","0","1","","Left at Ginny","","","","35539781","0","4","0","0","27","thing","The Hunger Games: Catching Fire – Victors Game","3","5","30","30","30","2013","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunt A Killer: A Wealth of Murder","426241","0","0","0","0","0","1","0","1","0","0","0","1","","","","","","129720793","0","5.9575","2","0","125","thing","Hunt A Killer: A Wealth of Murder","1","99","150","150","120","2024","1,2","1,2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunt A Killer: Dead on the Vine","374334","7","0","0","0","0","0","0","0","1","0","0","3","","Traded w/ Marti for Puzzle Post Sabotage
https://www.puzzlepost.com/product/the-sabotage/","","","","126472612","0","7.00227","0","0","93","thing","Hunt A Killer: Dead on the Vine","1","5","360","360","180","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunt A Killer: Death at the Dive Bar","315954","0","0","0","0","0","0","0","0","1","0","0","1","","Gifted to","","","","94107372","5.65222","6.6958","2","7422","1500","thing","Hunt A Killer: Death at the Dive Bar","1","6","180","180","30","2020","1,2,3","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunt A Killer: Murder at the Motel","341401","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","94107373","5.52994","5.95285","1.5","16616","729","thing","Hunt A Killer: Murder at the Motel","1","5","60","60","45","2021","1,2,3","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunt A Killer: Nancy Drew – Mystery at Magnolia Gardens","346467","7","0","0","1","0","0","0","0","0","0","0","1","","Lent to Jaime","","","","94107380","5.59106","7.11812","1.6667","9870","624","thing","Hunt A Killer: Nancy Drew – Mystery at Magnolia Gardens","1","99","90","90","60","2021","1,2,3,4","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"...I should have known that!","137167","0","0","0","1","0","0","0","0","1","0","0","3","","","","","","77778622","5.47522","5.2397","1","29229","1089","thing","...I should have known that!","2","99","45","45","15","2011","2,3,4","2,4","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"I Spy Eagle Eye","29142","5","0","0","0","0","0","0","0","1","0","0","3","","Given to MIL","","","","48168717","5.48007","4.99648","1","28917","383","thing","I Spy Eagle Eye","1","4","20","20","20","2006","","","3+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Illuminati","859","5","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493827","5.81083","6.17168","2.4842","4659","4089","thing","Illuminati","2","6","120","120","60","1982","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers","154203","4","0","0","0","0","0","0","0","1","0","0","3","","Sold for $20","","","","47622909","7.09225","7.28555","2.7756","395","34398","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Incredible Expeditions: Quest for Atlantis","142638","3","0","0","0","0","0","0","0","1","0","0","3","","NK $27 credit","","","","132774033","5.5245","5.82849","2.6923","17982","376","thing","Incredible Expeditions: Quest for Atlantis","1","5","120","120","120","2014","1,2,3,4","2,3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Voodoo Bunny Co. LLC","English","2014","English Grand Tour edition"
"Infected","306951","0","0","0","0","0","0","0","0","1","0","0","3","","Difficulty:7.5/10
Sold on Puzzle People","","","","110964336","0","7.7","0","0","17","thing","Infected","1","6","240","240","45","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Inheritance","335607","0","0","0","0","0","0","0","0","1","0","0","3","","Sold on FB Marketplace for $10","","","","110632288","0","8","0","0","36","thing","The Inheritance","1","6","240","240","45","2021","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Initiative","328908","0","0","0","1","0","0","0","0","0","0","0","1","","Waiting for Scott Yost to give me his","","","","89708030","6.50746","7.51861","2.0317","1302","6801","thing","The Initiative","1","4","60","60","30","2021","2,3,4","4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Insert Coin","374826","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","127234123","0","8.33333","0","0","17","thing","Insert Coin","1","6","90","90","60","2022","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Inside Job","324914","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125946765","6.22318","6.98509","1.6604","2140","4716","thing","Inside Job","2","5","30","30","20","2022","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Ironclad","184802","0","0","0","0","0","0","0","1","0","0","0","4","","","","","","71655734","5.56368","6.95661","3.1667","11834","408","thing","Ironclad","1","3","90","90","45","2018","1,2","1","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"The Isofarian Guard","281526","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","132413096","6.49167","8.5303","3.1562","1348","3872","thing","The Isofarian Guard","1","2","90","90","45","2023","1,2","1,2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"ISS Vanguard","325494","8","1","0","0","0","0","0","1","0","0","1","5","","","","","","141480501","7.4315","8.35246","3.6697","159","17815","thing","ISS Vanguard","1","4","120","120","90","2022","1,2,3,4","1,2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"ISS Vanguard","325494","0","1","0","0","0","0","0","1","0","0","1","3","","","","","","141480620","7.4315","8.35246","3.6697","159","17815","thing","ISS Vanguard","1","4","120","120","90","2022","1,2,3,4","1,2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"It's a Wonderful World","271324","4","0","0","0","0","0","0","0","0","0","0","3","","","","","","141159150","7.38637","7.62727","2.3247","185","29948","thing","It's a Wonderful World","1","5","45","45","45","2019","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ito","327778","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","141424073","6.60387","7.3357","1.0135","1090","7267","thing","ito","2","10","10","10","10","2019","3,4,5,6,7,8","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","7","31","0","0","0","0","0","0","0","0","0","3","","","","","","89218722","7.36151","7.47934","1.4635","202","95648","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jenga","2452","5","0","0","1","0","0","0","0","1","0","0","1","","","","","","3493832","5.58299","5.66464","1.1006","10373","35408","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Journal 29 Revelation: Interactive Book Game","344051","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","132508946","5.54293","6.95629","3","14207","238","thing","Journal 29 Revelation: Interactive Book Game","1","10","120","120","120","2018","1,2","1","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Journal 29: Interactive Book Game","253399","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","78579512","5.7876","6.89713","2.7647","4936","1340","thing","Journal 29: Interactive Book Game","1","10","120","120","120","2017","1,2","1,2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Kalah","2448","0","0","0","1","0","0","0","0","1","0","0","1","","","","","","56643657","5.84843","6.01479","1.5979","4292","17758","thing","Kalah","2","2","10","10","10","1940","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Karuba","183251","6","0","0","0","0","0","0","0","1","0","0","1","","Sold to Preeti for $15","","","","38606261","6.86322","7.16241","1.4234","666","17525","thing","Karuba","2","4","40","40","30","2015","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kill Doctor Lucky","257","5","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493824","5.9437","6.15622","1.6417","3529","13447","thing","Kill Doctor Lucky","3","8","45","45","45","1996","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Killer Bunnies and the Quest for the Magic Carrot","3699","5","0","0","0","0","0","0","0","1","0","0","3","","Sold @ Google","","","","11772710","5.39431","5.51483","1.8841","30355","11301","thing","Killer Bunnies and the Quest for the Magic Carrot","2","8","45","45","45","2002","3,4,5,6,7,8","4,5,6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kinfire Chronicles: Night's Fall","364655","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","141523009","6.39655","8.36186","2.8","1589","3187","thing","Kinfire Chronicles: Night's Fall","1","4","60","60","45","2023","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Monster Island","350755","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","132917960","6.08885","7.12123","2.35","2703","4160","thing","King of Monster Island","1","5","60","60","45","2022","1,2,3,4","2,3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","4","0","0","1","1","0","0","0","1","0","0","1","","","","","","47622923","7.00845","7.11382","1.4837","492","111899","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The King's Dilemma","245655","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","70352729","7.09508","7.67477","2.2571","394","13358","thing","The King's Dilemma","3","5","60","60","45","2019","4,5","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdom Death: Monster","55690","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","70173954","7.6157","8.47448","4.2743","95","13833","thing","Kingdom Death: Monster","1","4","180","180","60","2015","1,2,3,4","4","18+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","6","5","0","1","0","0","0","0","0","0","0","1","","","","","","59520255","7.16903","7.28779","1.2386","330","91157","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kronologic: Paris 1920","402111","0","0","0","0","0","1","0","1","0","0","0","3","","","","","","125919349","6.39871","7.50174","2.0769","1580","5017","thing","Kronologic: Paris 1920","1","4","30","30","30","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Labyrinth","1219","7","0","0","1","0","0","0","0","1","0","0","3","","","","","","11773019","6.23255","6.4091","1.3439","2098","34537","thing","Labyrinth","2","4","20","20","20","1986","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lands of Evershade","415848","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","142318475","5.64247","8.31184","3.5556","7725","674","thing","Lands of Evershade","1","5","270","270","90","2026","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lands of Galzyr","281474","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132541801","6.62919","7.92988","1.7172","1040","5003","thing","Lands of Galzyr","1","4","150","150","60","2022","1,2,3","2","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Legacy of Dragonholt","234669","0","0","0","1","0","0","0","0","0","0","0","3","","Bought for $20","","","","132533600","6.45762","7.18873","1.2844","1425","7716","thing","Legacy of Dragonholt","1","6","999","999","60","2017","1,2,3","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","47959356","7.22338","7.51781","2.434","282","36484","thing","Legendary: A Marvel Deck Building Game","1","5","60","60","30","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"LEGO Constructionary Game","8256","3","0","0","0","0","0","0","0","1","0","0","3","","Sold to Ben","","","","11772713","5.48729","4.63889","1.5","28190","102","thing","LEGO Constructionary Game","3","6","30","30","30","1999","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Leviathan Wilds","358737","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","140305353","6.72519","7.86471","2.4667","866","6705","thing","Leviathan Wilds","1","4","90","90","45","2024","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Libertalia","125618","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","77510246","6.8653","7.10102","2.2324","663","15310","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Light in the Mist","341519","8.5","1","0","1","0","0","0","0","0","0","0","1","","Completed","","","","99547972","6.18538","8.01045","2.875","2287","3076","thing","The Light in the Mist","1","4","500","500","300","2022","1,2","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: Duel for Middle-earth","421006","7.5","1","0","0","0","0","0","0","0","0","0","4","","","","","","129916773","7.98021","8.35724","2.0716","19","40891","thing","The Lord of the Rings: Duel for Middle-earth","2","2","30","30","30","2024","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","8","3","0","1","0","0","0","0","0","0","0","1","","","","","","70002563","7.58145","7.72992","2.449","107","74350","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","6","3","1","1","0","0","0","0","0","0","0","1","","","","","","3493754","7.15242","7.2583","1.4746","343","76141","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost in Adventure: The Labyrinth","422178","0","0","0","0","0","1","0","1","0","0","0","3","","","","","","129760653","5.52453","6.43966","1.5","17973","209","thing","Lost in Adventure: The Labyrinth","1","6","90","90","90","2024","1,2","1","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Ruins of Arnak","312484","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","141481609","7.91618","8.08234","2.9313","30","86201","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter: Batman","168584","6","3","0","1","0","0","0","0","1","0","0","2","","","","","","70443161","6.72704","7.2745","1.1884","861","10518","thing","Love Letter: Batman","2","4","20","20","20","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","PnP","","","","","",""
"Lovecraft Letter","198740","0","0","0","0","0","1","0","0","0","0","0","3","","","","","","126579645","6.68396","7.22398","1.4425","944","10615","thing","Lovecraft Letter","2","6","15","15","5","2017","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Machi Koro","143884","6","4","0","1","0","0","0","0","0","0","0","3","","","","","","78738945","6.47391","6.59218","1.5191","1379","59727","thing","Machi Koro","2","4","30","30","30","2012","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game","96848","6.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","56694094","7.8386","8.08223","4.3763","39","47968","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Malarky","5135","5","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493820","5.51378","5.66208","1.4815","21346","1433","thing","Malarky","3","6","45","45","45","1996","4,5,6","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Mancala 4","9488","0","0","0","1","0","0","0","0","1","0","0","1","","","","","","56643654","5.50306","5.7766","1.25","24844","207","thing","Mancala 4","2","4","30","30","30","0","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","8.5","1","0","0","0","0","0","1","0","0","0","1","","Jaime owns this","","","","129222386","7.6787","7.91632","2.6963","76","65749","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mantis Falls","291847","0","0","0","0","0","1","0","1","0","0","1","3","","","","","","125946598","6.15864","7.13462","2.7143","2375","5530","thing","Mantis Falls","2","3","90","90","60","2021","2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marrying Mr. Darcy","145308","6","1","0","0","0","0","0","0","1","0","0","3","","Bought for $5, Gifted to Jaime","","","","139738585","5.84738","6.38925","1.4179","4302","3955","thing","Marrying Mr. Darcy","2","6","60","60","30","2014","2,3,4,5,6","4,5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel D.A.G.G.E.R.","383242","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","144016870","5.81861","7.0949","2.9545","4580","2139","thing","Marvel D.A.G.G.E.R.","1","5","180","180","180","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Dice Throne: X-Men","403494","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","130184179","6.11577","8.42706","2.1429","0","3321","thing","Marvel Dice Throne: X-Men","2","6","40","40","20","2025","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mascarade","139030","0","0","0","0","0","0","0","0","1","0","0","1","","Sold 10/2025 for $4 Zulu Bazaar","","","","48214303","6.32811","6.54859","1.5273","1775","17978","thing","Mascarade","2","13","30","30","30","2013","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mastermind","2392","6","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493818","5.59981","5.68255","1.7827","9395","16410","thing","Mastermind","2","2","20","20","20","1971","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Hollywood","446886","0","0","0","0","0","1","0","1","0","0","0","1","","","","","","132668765","0","8.16667","0","0","47","thing","Masters of Crime: Hollywood","1","6","210","210","150","2025","1,2,3","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Incognito","406863","5","0","0","0","0","0","0","0","1","0","0","1","","Completed

Sold to Noble Knight","","","","132668754","5.52536","6.69245","1.5","17755","326","thing","Masters of Crime: Incognito","1","6","210","210","150","2022","1,2,3","1","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Mosquito","406882","0","0","0","0","0","1","0","1","0","0","0","1","","","","","","132668761","5.53229","7.32111","0","16089","228","thing","Masters of Crime: Mosquito","1","6","210","210","150","2024","1,2,3","1,2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Rapture","351332","0","0","0","0","0","1","0","1","0","0","0","1","","","","","","132668757","5.55461","7.37211","1.6667","12704","376","thing","Masters of Crime: Rapture","1","6","210","210","150","2021","1,2,3,4","1","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Shadows","371539","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","132668747","5.61523","7.79688","1.75","8664","645","thing","Masters of Crime: Shadows","1","6","210","210","150","2022","1,2,3,4","3","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Masters of Crime: Vendetta","336791","7.5","0","0","0","0","0","0","0","1","0","0","3","","NK $5","","","","129682185","5.62573","7.46901","2","8249","653","thing","Masters of Crime: Vendetta","1","6","240","240","120","2021","1,2,3,4","4","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Mechanical Beast","284118","0","0","0","0","0","0","0","0","1","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026. Given to Jaime","","","","143628816","5.60379","6.46489","2.3","9215","1095","thing","Mechanical Beast","1","4","40","40","20","2022","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mechs vs. Minions","209010","6","3","0","0","0","0","0","0","1","0","0","1","","Sold on Facebook $65","","","","59520717","7.62439","7.94996","2.4545","90","25165","thing","Mechs vs. Minions","2","4","120","120","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mice and Mystics","124708","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","56460883","6.95054","7.20223","2.7352","558","42292","thing","Mice and Mystics","1","4","90","90","60","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City","318977","8","4","0","0","0","0","0","0","1","0","0","3","","Completed","","","","89707933","7.21458","7.44806","1.101","291","38912","thing","MicroMacro: Crime City","1","4","45","45","15","2020","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"MicroMacro: Crime City – Full House","338834","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","89754797","6.9674","7.6318","1.1633","538","16712","thing","MicroMacro: Crime City – Full House","1","4","45","45","15","2021","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mind MGMT: The Psychic Espionage “Game.”","284653","5","2","0","0","0","0","0","0","0","0","1","5","","Unlikely to buy but willing to play.","","","","125916758","7.17426","7.78201","2.9097","323","16367","thing","Mind MGMT: The Psychic Espionage “Game.”","1","5","60","60","60","2021","1,2,3,4,5","2,3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"MindTrap","1923","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493846","5.17376","4.8056","1.9444","30524","5518","thing","MindTrap","2","16","60","60","60","1991","2,4,5,6,7,8,9,10","6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ministry of Lost Things: Case 1 – Lint Condition","425765","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133705208","5.6893","7.94699","2.3333","6524","883","thing","Ministry of Lost Things: Case 1 – Lint Condition","1","4","180","180","120","2025","1,2","1,2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Missing in the Caribbean","422753","8","1","0","0","0","0","0","0","1","0","0","3","","","","","","123691034","5.545","7.57576","1.6667","13907","141","thing","Missing in the Caribbean","1","6","150","150","90","2022","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly","1406","5","0","2","1","0","0","0","0","0","0","0","1","","","","","","3493802","4.29407","4.36877","1.6193","30567","59772","thing","Monopoly","2","8","180","180","60","1935","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly: Cheaters Edition","254617","2","0","0","0","0","0","0","0","0","0","0","3","","","","","","140683620","5.37572","5.07532","1.3333","30397","2924","thing","Monopoly: Cheaters Edition","2","6","180","180","60","2018","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Moon Colony Bloodbath","425549","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132068424","6.88573","7.65019","2.1053","638","7172","thing","Moon Colony Bloodbath","1","5","90","90","45","2025","1,2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Morrison Game Factory","390406","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130953183","5.93176","8.26809","2.125","3619","1226","thing","The Morrison Game Factory","1","4","240","240","100","2024","1,2,3","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mortum: Medieval Detective","296063","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","134562035","5.90426","7.21514","2.1724","3824","2392","thing","Mortum: Medieval Detective","1","6","180","180","120","2021","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Mortum: Medieval Detective – The Shelter","351600","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129720883","5.66165","8.10853","1.4","7173","625","thing","Mortum: Medieval Detective – The Shelter","1","6","240","240","180","2022","1,2,3,4","2","16+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mosaic: A Story of Civilization","329551","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","137096256","6.81019","7.46566","3.0546","741","8802","thing","Mosaic: A Story of Civilization","2","6","120","120","120","2022","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Motley","382101","4","1","0","1","0","0","0","0","1","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026","","","","143628796","0","5.46154","0","0","95","thing","Motley","2","10","30","30","30","2024","3,4,5,6,7,8","3,4,5","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mr. Jack","21763","5","3","0","0","0","0","0","0","1","0","0","1","","Given to Nicole","","","","52100452","6.76668","6.96102","2.1718","802","25492","thing","Mr. Jack","2","2","30","30","30","2006","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","3","0","0","0","0","0","0","0","1","0","0","3","","Given to Ginny","","","","26621913","5.6929","5.87352","1.8177","6448","102790","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin 2: Unnatural Axe","3943","3","0","0","0","0","0","0","0","1","0","0","3","","Given to Ginny","","","","26621997","6.08358","6.42547","1.7957","0","21236","thing","Munchkin 2: Unnatural Axe","3","6","90","90","90","2002","3,4,5,6","4,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
